state,staterr,varname,race_ethn,age,c_mn,se_tot,c_upr,c_lwr
1,AL,Foster Care,AI/AN,17,0.0205326038546218,0.053948294550834434,0.1262712611742573,0
1,AL,Investigation,AI/AN,17,0.0993014891956532,0.07804687827210036,0.25227337060896987,0
1,AL,Confirmed Maltreatment,AI/AN,17,0.03684838310341129,0.06279469979633566,0.1599259947042292,0
1,AL,Termination,AI/AN,17,0.002312529578130218,0.03223007885903977,0.06548348414184817,0
2,AK,Foster Care,AI/AN,17,0.24835667391159277,0.060345241204836635,0.36663334667307257,0.13008000115011298
2,AK,Investigation,AI/AN,17,0.7334368008676835,0.05406556761511414,0.8394053133933072,0.6274682883420598
2,AK,Confirmed Maltreatment,AI/AN,17,0.38721515426444936,0.06261151559168462,0.5099337248241512,0.2644965837047475
2,AK,Termination,AI/AN,17,0.08002247366213569,0.04887272376789802,0.1758130122472158,0
4,AZ,Foster Care,AI/AN,17,0.09598934198941216,0.03905070411961967,0.1725287220638667,0.01944996191495761
4,AZ,Investigation,AI/AN,17,0.3187063950529412,0.047622124378446214,0.41204575883469574,0.22536703127118662
4,AZ,Confirmed Maltreatment,AI/AN,17,0.10618310221849102,0.03993159535825318,0.18444902912066724,0.027917175316314796
4,AZ,Termination,AI/AN,17,0.03764272576518632,0.031474230177980324,0.09933221691402774,0
5,AR,Foster Care,AI/AN,17,0.1097775542173758,0.0780102370214976,0.2626776187795111,0
5,AR,Investigation,AI/AN,17,0.3749307940408333,0.09316515706623374,0.5575345018906515,0.19232708619101516
5,AR,Confirmed Maltreatment,AI/AN,17,0.15340118843874218,0.08310538746031146,0.3162877478609526,0
5,AR,Termination,AI/AN,17,0.043799604858387645,0.06367234146287205,0.16859739412561686,0
6,CA,Foster Care,AI/AN,17,0.08245305333019717,0.034354459472029156,0.14978779389537433,0.015118312765020028
6,CA,Investigation,AI/AN,17,0.17870327349189527,0.04013982722769115,0.25737733485816994,0.10002921212562063
6,CA,Confirmed Maltreatment,AI/AN,17,0.08889023436557779,0.03497901794456287,0.157449109536921,0.020331359194234566
6,CA,Termination,AI/AN,17,0.030932856056683375,0.027652865396863457,0.08513247223453575,0
8,CO,Foster Care,AI/AN,17,0.05215597842530352,0.04840421143246087,0.14702823283292682,0
8,CO,Investigation,AI/AN,17,0.1632852163445785,0.06164514892018271,0.2841097082281366,0.04246072446102038
8,CO,Confirmed Maltreatment,AI/AN,17,0.07963657440153102,0.05328253608389669,0.18407034512596854,0
8,CO,Termination,AI/AN,17,0.011512258681717943,0.033563557215271204,0.0772968308236495,0
9,CT,Foster Care,AI/AN,17,0.04195165399640452,0.06851959240603715,0.17625005511223735,0
9,CT,Investigation,AI/AN,17,0.1300585664635171,0.087912926632362845,0.3023679026629483,0
9,CT,Confirmed Maltreatment,AI/AN,17,0.0782685450364376,0.07901104834399904,0.2331301997906757,0
9,CT,Termination,AI/AN,17,0.009674037293482957,0.04780121560367837,0.10336441987669256,0
10,DE,Foster Care,AI/AN,17,0.0018066847335139746,0.04250512290697966,0.0851167256311941,0
10,DE,Investigation,AI/AN,17,0.07370773522121475,0.10890391852703299,0.2871594155341994,0
10,DE,Confirmed Maltreatment,AI/AN,17,0.016383615654082487,0.07543475605557354,0.16423573752300663,0
10,DE,Termination,AI/AN,17,0,0,0,0
